IssuerProfileName,IssuerKeyName,CrlValidity,AlgoProfile,ConfigProfile,KeyConfigType,KeyGroupName,KeyValidity,SubjectName
DataCA_RSA256_2048,DataCA_RSA256_2048,360,SHA256withRSA,CertRSA_CA,Key_RSA256_2048,Group BSSN,360,"cn=DataCA_RSA256_2048,o=autentika,c=ID"
DataCA_RSA256_3072,DataCA_RSA256_3072,360,SHA256withRSA,CertRSA_CA,Key_RSA256_3072,Group BSSN,360,"cn=DataCA_RSA256_3072,o=autentika,c=ID"
DataCA_RSA256_4096,DataCA_RSA256_4096,360,SHA256withRSA,CertRSA_CA,Key_RSA256_4096,Group BSSN,360,"cn=DataCA_RSA256_4096,o=autentika,c=ID"
DataCA_RSA384_2048,DataCA_RSA384_2048,360,SHA384withRSA,CertRSA_CA,DataCA_RSA384_2048,Group BSSN,360,"cn=DataCA_RSA384_2048,o=autentika,c=ID"
DataCA_RSA384_3072,DataCA_RSA384_3072,360,SHA384withRSA,CertRSA_CA,DataCA_RSA384_3072,Group BSSN,360,"cn=DataCA_RSA384_3072,o=autentika,c=ID"
DataCA_RSA384_4096,DataCA_RSA384_4096,360,SHA384withRSA,CertRSA_CA,DataCA_RSA384_4096,Group BSSN,360,"cn=DataCA_RSA384_4096,o=autentika,c=ID"
DataCA_RSA512_2048,DataCA_RSA512_2048,360,SHA512withRSA,CertRSA_CA,DataCA_RSA512_2048,Group BSSN,360,"cn=DataCA_RSA512_2048,o=autentika,c=ID"
DataCA_RSA412_3072,DataCA_RSA412_3072,360,SHA512withRSA,CertRSA_CA,DataCA_RSA512_3072,Group BSSN,360,"cn=DataCA_RSA412_3072,o=autentika,c=ID"
DataCA_RSA512_4096,DataCA_RSA512_4096,360,SHA512withRSA,CertRSA_CA,DataCA_RSA512_4096,Group BSSN,360,"cn=DataCA_RSA512_4096,o=autentika,c=ID"
DataCA_ECC1_160,DataCA_ECC1_160,360,SHA1withECDSA,CertECC_CA,ECC1_160,Group BSSN,360,"cn=DataCA_ECC1_160,o=autentika,c=ID"
DataCA_ECC1_256,DataCA_ECC1_256,360,SHA1withECDSA,CertECC_CA,ECC256_160,Group BSSN,360,"cn=DataCA_ECC1_256,o=autentika,c=ID"
DataCA_ECC224_160,DataCA_ECC224_160,360,SHA224withECDSA,CertECC_CA,ECC256_160,Group BSSN,360,"cn=DataCA_ECC224_160,o=autentika,c=ID"
DataCA_ECC224_256,DataCA_ECC224_256,360,SHA224withECDSA,CertECC_CA,ECC256_160,Group BSSN,360,"cn=DataCA_ECC224_256,o=autentika,c=ID"
DataCA_ECC256_160,DataCA_ECC256_160,360,SHA256withECDSA,CertECC_CA,ECC256_160,Group BSSN,360,"cn=DataCA_ECC256_160,o=autentika,c=ID"
DataCA_ECC256_256,DataCA_ECC256_256,360,SHA256withECDSA,CertECC_CA,ECC256_160,Group BSSN,360,"cn=DataCA_ECC256_256,o=autentika,c=ID"
ForDataCA_External,ForDataCA_External,360,SHA256withRSA,EXTERNAL_forCSR,ECC1_160,Group BSSN,360,"cn=ForDataCA_External,o=autentika,c=ID"
